xc,yc,a,b,theta,xc,yc,a,b,theta
10239102.055326685,3717185.4594913227,54321103.23916971,54169621.69473446,0.25501934703718887,-6006611.193725357,-2453481.7658406603,35025253.42884261,33871539.438005544,0.37373438540533854
10791267.903652139,1050065.4779845055,54266507.06085152,54108499.51328459,0.013357365632692792,-6365035.055563098,-867647.0152847127,35112618.85465824,33959532.70926384,0.12079262241523152
10661670.580378242,-1816258.9351682013,54129370.62884793,54051418.51729555,-0.1956622336491584,-6279455.24397222,817519.8389249132,35170013.04632943,34068945.06287664,-0.14391498230472857
9708587.472526155,-4572120.833577497,53953763.73647303,53946557.40649846,2.298617582436384,-5735566.671233351,2432253.1930165403,35271474.16205888,34200015.81793426,-0.41526953278228246
7969034.0285821175,-6983777.143970444,53972552.21693863,53831939.24296919,-0.8149051444561064,-4773156.910323803,3894436.3787210863,34863650.890487604,34828936.13467419,-3.5608418619742985
7675251.963097708,-7218370.579344782,53771700.677056976,53777191.06384224,-21.523659084602286,-4588799.661905877,3999510.7556393375,35422201.9578801,34390769.78751477,-0.7302223661002087
7652048.938601035,-7022928.500682742,53595626.819720775,53642752.12984509,-2.5269541455424003,-4611156.753017066,3868687.598764221,35513026.43684365,34491674.51579089,-0.7096253310533742
8065338.051897062,-6241269.905477904,53523524.86088484,53429679.8420733,-0.8324892718504393,-4894903.079547835,3449026.796903898,35553074.82026477,34545070.673914745,-0.6310844531301296
8173985.39959333,-5921027.7898134105,53269485.18690613,53269196.66374321,-26.94596179173899,-4967586.2460254,3216009.47502249,35632911.56759627,34636706.99969524,-0.5895870784103823
8060307.7741914,-5794555.652590805,53116107.79044657,53146090.905813925,0.06820043185647727,-4937472.083566797,3127930.6070563663,35700260.463252895,34730836.92027479,-0.583893476128079
8076518.639484655,-5498028.901689283,52949694.33655102,52978352.310920514,-0.08291428892816605,-4983813.309069979,2937362.336729815,35785071.95073963,34823949.87664494,-0.556447203640116
7536516.869600971,-6099776.316360987,52979088.004826486,52904569.840807125,2.1505392879897802,-4700573.195924278,3340217.5535173276,35876387.606607825,34870733.27908291,-0.650963796053234
7569230.694440605,-5865604.23182761,52748758.09354538,52775554.56541216,-0.10887398400718343,-4729082.789423238,3151971.2087171027,35926735.876130484,34967794.572909206,-0.608302284376858
7106274.212946971,-6320590.286138026,52675098.00293973,52704342.16794018,-0.1986792155688321,-4442449.278740551,3429328.18992562,35959994.58532018,35044842.80341514,-0.6805453405645925
6415826.802020831,-6882357.509276603,52560152.45754983,52595110.03997369,2.8836915084639463,-4050815.0598404035,3769061.9362876206,36086820.279934704,35163534.42527132,-0.7656045754033622
5678999.008990937,-7399701.449891162,52485895.02811914,52434746.52343952,0.9043587299186361,-3590857.467139729,4049998.1822230383,35302851.59198187,36172531.27696159,-11.864637583260908
5413102.567294519,-7440491.719537279,52413513.38310046,52356358.3014489,-1.4525784728936963,-3451258.1322920932,4090420.5000801883,35385152.56309625,36244770.197890386,-11.891027259821216
5171609.214084171,-7628895.880395331,52364440.240053385,52320834.1556619,0.8360580518059708,-3294570.591489187,4174975.1410689703,36280533.31713515,35427781.62416271,-7.210836917583124
4759560.884792414,-7848395.195791,52278806.07040936,52348797.685638145,-0.33134216730429794,-3040538.5957896477,4289596.910665926,35507191.2310986,36346516.253449425,3.734593034905716
4657451.684659941,-7810212.115923718,52233439.11114826,52285929.82876454,0.03117585769614417,-2995693.2643532646,4285882.857382259,36389581.16497116,35547155.58744249,5.298010445578085
4858391.585210253,-7489091.1274421085,51984930.30065446,52085905.74978417,-0.41598035958788243,-3134427.719454322,4086867.5739658377,36484072.83036073,35657230.3647496,-0.9451124446652825
4850564.626009441,-7356636.814515206,51944104.94166698,51886320.57096899,0.8046150741874057,-3148716.539673097,4019872.359947122,36520593.99426445,35713324.96341632,8.489252533092698
4760065.715603928,-7324307.017794076,51881625.224419974,51774173.87682666,1.1056997738518128,-3097538.0573371165,3994690.1751269377,36077955.648755684,36320539.39481783,-8.69625705238933
4863898.2092259275,-7020560.493396511,51628788.184160225,51690551.71248674,-0.30910136959543993,-3204684.687022865,3806152.2976393155,36247838.86517565,36319831.99641525,261.4487269695646
5030318.824000705,-6726475.826968429,51450059.018858165,51415004.91471113,4.007674986998997,-3330385.144936081,3633719.3380154534,35974037.18876183,36779158.50704429,10.121005545142776
5065588.940232752,-6435361.987826978,51323493.846255414,51258618.27169104,-8.163584857375218,-3381189.8981738067,3429834.2010698505,36575211.51194645,36313905.22919703,2.251299788763581
5144547.567603732,-6135309.7748765815,51089304.66897164,51092601.02936178,-6.672818481603685,-3463595.8736572973,3246565.2721609725,36928126.752940945,36197736.77755033,11.770836373670067
5182488.265441944,-5930114.657636378,50913392.02854145,50990180.96734502,-0.31125969163227984,-3507642.9855519603,3090801.39528176,36627470.35320477,36646596.735664666,-2.3634830849367834
5249732.360165273,-5786829.833527063,50722271.99126858,50882852.43753787,-0.5214197601834312,-3547581.8985073636,2958772.532844073,36361995.406971924,37055997.845925875,0.8264737160276688
5222521.774058903,-5591335.168164521,50646854.0529371,50746259.3744484,-0.2924296271359425,-3576505.2870534877,2842599.4795437427,36435443.012085065,37131160.5104376,0.8467243315421423
5143706.0724977255,-5468743.12975974,50487802.40920147,50590153.44285366,-0.29232828998572186,-3544610.554535739,2749843.3245876855,36539599.578214444,37212242.10363337,0.8547983601961552
4825544.236263095,-5699078.196847095,50441171.67743198,50531044.68915836,-0.38105260731009005,-3357473.2316828724,2898130.575882592,37318389.565693535,36617463.18862608,-29.03389513906581
4434940.548345775,-5915470.21516709,50349869.05725046,50437408.31203746,-0.4412805997461088,-3088178.2084954362,2994108.4506787565,36764320.94215886,37401233.601377524,0.7417201934410053
3962081.450064772,-6151916.900480304,50251636.425199,50344162.83177539,-0.4696756524440085,-2775465.6878401483,3109648.1504536676,36924853.54360786,37536394.579973,0.6693546223330212
